case_id	layer	ud_stanza_signal	example	focus_span	proposed_remapping	remapping_rule_to_check	expected_decision	correct_mapping	reference_note	martin_comment	source_item_id
SE-S-01	Sentence element	nsubj	Sarah and her daughters arrived first.	Sarah and her daughters	S = Subject	Direct subject relation maps to S.	OK	S	Straightforward direct mapping.		w05_s_02
SE-S-02	Sentence element	nsubj with internal modifier	The old woman living in the basement needs help.	The old woman living in the basement	S = Subject	The whole subject phrase maps to S, not only the syntactic head.	Rule-based OK	S	The UD head is woman, but the pedagogical span is the whole subject phrase.		w05_s_01
SE-S-03	Sentence element	csubj: finite wh-clause	What he said cannot be denied.	What he said	S = Subject	Clausal subject maps to S.	OK	S	The subordinate clause functions as the subject of the main clause.	csubj: finite wh-clause (VS. nominal relative clause)	w10_ex1_03
SE-S-04	Sentence element	csubj: to-infinitival clause	To have seen him lose his temper was unexpected.	To have seen him lose his temper	S = Subject	Non-finite clausal subject maps to S.	OK	S	The infinitival clause fills the subject slot.	"V bistvu je tudi naslednji primer ""non-finite clause"" - tukaj bi moralo biti infinitival, ali še bolje perfect infinitive clause."	w05_s_04
SE-S-05	Sentence element	csubj: -ing clause	Writing a letter of application proved difficult.	Writing a letter of application	S = Subject	Gerund-participial clausal subject maps to S.	OK	S	The -ing clause fills the subject slot.	Če bi se to dalo ločiti (bodisi gerundial bodisi participial - v tem primeru gerundial), bi bilo super, drugače pa ok.	w05_s_05
SE-S-06	Sentence element	expl + extraposed clause	It is important to know the truth.	It / to know the truth	Formal S + postponed clausal S	Expletive it should not be treated like an ordinary lexical S without review.	Needs manual review	Formal S + postponed clausal S	Keep this as a flagged construction rather than a plain nsubj -> S case.	"A pri ""postponed clausal S"" bi se dalo, da bi bila analiza bolj precizna (i.e., da gre za infinitival clause)?"	w05_s_03
SE-P-01	Sentence element	root: lexical verb	Close the door.	Close	P = Predicator	Main lexical verb maps to the predicator nucleus.	OK	P	Imperative clause with an understood subject; Close is the predicator.		w05_ex1_01
SE-P-02	Sentence element	aux + root	Did the children play?	Did ... play	P = Predicator	Auxiliary plus lexical verb together realize P.	Rule-based OK	P	The pedagogical predicator may be discontinuous.	"Aux v ""split predicator"" scenariju je operator."	w05_p_01
SE-P-03	Sentence element	aux:pass + root	John was sent a copy of the letter to the president.	was sent	P = Predicator	Passive auxiliary plus lexical verb together realize P.	Rule-based OK	P	The remapping should keep the passive auxiliary in the predicator span.		w07_ex1_01
SE-P-04	Sentence element	cop + lexical predicate	Paul is a good student.	is	P = Predicator	In copular clauses, the copula realizes P and the lexical predicate realizes SC.	Rule-based OK	P	UD usually makes the lexical predicate the head, so this is not a one-label rename.		w07_sc_04
SE-P-05	Sentence element	compound:prt with verb	She rang up her mother to ask her to dinner.	rang up	P = Predicator	Phrasal verb particle should be included in P.	Rule-based OK	P	The particle is part of the predicator span.		w11_ex3_09
SE-DO-01	Sentence element	obj: noun phrase	She meant no harm.	no harm	DO = Direct Object	UD obj maps directly to DO.	OK	DO	Straightforward direct object.		w05_do_01
SE-DO-02	Sentence element	obj: reflexive pronoun	He hit himself with a golf club.	himself	DO = Direct Object	Reflexive obj maps to DO.	OK	DO	The reflexive form does not change the sentence-element label.		w05_do_02
SE-DO-03	Sentence element	obj: wh-pronoun	Whom did you see there?	Whom	DO = Direct Object	Wh-object maps to DO even when fronted.	Rule-based OK	DO	Word order should not prevent the object mapping.		w07_ex1_09
SE-DO-04	Sentence element	ccomp: finite that-clause	She said that she had lost her purse.	that she had lost her purse	DO = Direct Object	Content clause complement of a verb often functions as clausal DO.	Rule-based OK	DO	This is derived from the attachment and matrix verb, not from ccomp alone.		w05_do_05
SE-DO-05	Sentence element	ccomp: zero-that clause	He said he had lost his mind.	he had lost his mind	DO = Direct Object	A content clause without overt that can still function as clausal DO.	Rule-based OK	DO	The absence of that should not block the mapping.		w05_ex1_05
SE-DO-06	Sentence element	ccomp / wh-clause complement	Have you decided what you will study?	what you will study	DO = Direct Object	Wh-complement clause can function as clausal DO.	Rule-based OK	DO	The wh-clause is selected by the matrix verb decided.		w12_ex5_17
SE-DO-07	Sentence element	xcomp: -ing complement of a control verb	Have you finished reading the newspaper?	reading the newspaper	DO = Direct Object	Some non-finite complements are pedagogically treated as clausal DO.	Needs manual review	DO or clausal complement, depending on course policy	UD xcomp does not always map cleanly to DO; this should be policy-controlled.		w05_do_04
SE-IO-01	Sentence element	iobj: double-object construction	I found him a vacant flat.	him	IO = Indirect Object	UD iobj maps to IO.	OK	IO	Recipient/beneficiary object in a double-object pattern.		w05_io_01
SE-IO-02	Sentence element	clausal/fused relative recipient	Tell whoever rings me up to call back later.	whoever rings me up	IO = Indirect Object	Fused relative recipient can function as IO.	Rule-based OK	IO	The span is clausal even though the sentence-element function is IO.		w05_io_02
SE-IO-03	Sentence element	double object after give	He gave his wife what he had earned.	his wife	IO = Indirect Object	Recipient noun phrase in a double-object pattern maps to IO.	OK	IO	The second object is the thing transferred; the recipient is IO.		w12_ex5_01
SE-SC-01	Sentence element	copular adjective predicate	The journey was quite pleasant.	quite pleasant	SC = Subject Complement	Lexical predicate in a copular clause maps to SC.	Rule-based OK	SC	UD head is often the adjective, but pedagogically it is SC.		w07_sc_01
SE-SC-02	Sentence element	copular noun phrase predicate	Paul is a good student.	a good student	SC = Subject Complement	Predicate noun phrase after a copula maps to SC.	Rule-based OK	SC	The copula maps to P; the complement maps to SC.		w07_sc_04
SE-SC-03	Sentence element	copular prepositional phrase predicate	The furniture in their office is in bad condition.	in bad condition	SC = Subject Complement	Predicative PP after a copula maps to SC.	Rule-based OK	SC	PP realization does not make it an adverbial here.		w07_sc_05
SE-SC-04	Sentence element	copular to-infinitival predicate	My advice is to keep your mouth shut.	to keep your mouth shut	SC = Subject Complement	Infinitival predicate after a copula maps to SC.	Rule-based OK	SC	The clause is predicative, not adverbial.		w07_sc_06
SE-SC-05	Sentence element	copular -ing predicate	His hobby is collecting stamps.	collecting stamps	SC = Subject Complement	Gerund-participial predicate after a copula maps to SC.	Rule-based OK	SC	The -ing clause identifies the subject.	#9	w07_sc_07
SE-SC-06	Sentence element	copular finite that-clause	The trouble is that he has no money left.	that he has no money left	SC = Subject Complement	Finite content clause after a copula maps to SC.	Rule-based OK	SC	The clause is predicative.		w07_sc_08
SE-SC-07	Sentence element	linking verb + predicative adjective/participle	The town appeared abandoned.	abandoned	SC = Subject Complement	Predicate after a linking verb maps to SC.	Rule-based OK	SC	Requires a linking-verb rule, not a single UD relation rename.	"Zgoraj je povsod ""copula"", tukaj pa se pojavi ""linking verb"". A to kaj vpliva na funkcionalnost? Pa še ena reč je, in sicer tukaj piše ""predicate"", v resnici gre pa za adjectivized past participle (e.g., She appears happy.)"	w07_sc_03
SE-SC-08	Sentence element	linking verb + adjective	The milk seems off.	off	SC = Subject Complement	Predicate after seem maps to SC.	Rule-based OK	SC	The adjective describes the subject, not an object.	ditto	w07_ex1_12
SE-OC-01	Sentence element	object + nominal predication	I consider him my friend.	my friend	OC = Object Complement	Predicative complement of an object maps to OC.	Rule-based OK	OC	him is DO; my friend describes him.		w07_oc_02
SE-OC-02	Sentence element	object + adjectival resultative	Worries turned his hair white.	white	OC = Object Complement	Resultative adjective predicated of the object maps to OC.	Rule-based OK	OC	white describes the object his hair.		w07_oc_01
SE-OC-03	Sentence element	object + predicative PP	We found the flat in very good condition.	in very good condition	OC = Object Complement	Predicative PP describing the object maps to OC.	Rule-based OK	OC	The PP is not simply an adverbial of place.	Ta primer je ful zanimiv, ker če določni člen zamenjaš z nedoločnim (a flat), PP postane del DO. A bi to pravilno analiziral?	w07_oc_03
SE-OC-04	Sentence element	object + bare infinitival clause	I heard her sing.	sing	OC = Object Complement	Bare infinitival predication after an object can map to OC.	Needs manual review	OC or clausal object analysis, depending on course policy	Perception-verb constructions should be checked against the teaching convention.	Podobno kot pri #36 - če sing zamenjaš z npr. singing, postane her singing DO.	w07_oc_04
